#Jahr	Monat	Tag	Stunde	T_Mid	p_Mid	cor_p_Mid	Ns	I_Mid	L_Mid	v_Mid	R_Mid	N	NNO	NO	ONO	O	OSO	SO	SSO	S	SSW	SW	WSW	W	WNW	NW	NNW	
2023     01      06     04  9.7    990.2    1017.7    0.0    0.0    76.5    4.1    207.4    22  32  10  21  16  16  20  8   128 305 73  10  11  34  15  0   
2023     01      06     05  9.7    990.0    1017.5    0.0    0.0    75.4    4.5    211.2    18  30  10  8   9   17  8   4   110 389 66  7   9   24  12  0   
2023     01      06     06  9.6    989.7    1017.2    0.0    0.0    75.7    4.3    212.3    20  28  10  5   17  16  9   7   104 358 84  13  8   29  12  0   
2023     01      06     07  9.6    989.6    1017.1    0.0    0.0    76.2    4.1    209.0    21  37  15  15  13  20  9   16  121 299 62  10  15  44  24  0   
2023     01      06     08  9.6    989.5    1017.0    0.0    0.0    76.8    4.2    204.0    21  42  17  21  13  20  23  9   82  316 72  20  25  26  14  0   
2023     01      06     09  9.6    990.0    1017.5    0.0    0.0    79.4    4.8    208.4    18  47  10  21  16  9   14  5   78  364 74  10  10  29  16  0   
2023     01      06     10  9.3    990.5    1018.0    0.0    0.0    84.3    4.7    214.8    28  33  8   15  13  5   8   7   93  377 66  13  11  28  16  0   
2023     01      06     11  9.6    990.8    1018.3    0.0    0.0    84.4    4.0    204.6    21  30  13  24  21  21  15  8   138 291 74  13  13  20  18  0   
2023     01      06     12  9.7    990.5    1018.0    0.0    0.0    84.6    4.1    210.4    21  22  9   16  19  18  11  10  109 328 74  23  17  21  23  0   
2023     01      06     13  9.8    990.4    1017.9    0.0    0.0    85.1    4.3    211.1    31  20  15  15  12  17  12  9   115 361 51  14  14  22  13  0   
2023     01      06     14  9.9    990.3    1017.8    0.0    0.0    85.6    3.5    205.0    36  32  31  30  14  14  5   6   102 305 65  18  12  40  11  0   
2023     01      06     15  10.0    990.3    1017.8    0.0    0.0    85.2    3.4    219.9    27  35  18  10  9   9   5   4   59  265 127 55  35  43  19  0   
2023     01      06     16  10.0    990.2    1017.7    0.0    0.0    85.3    3.9    211.3    21  32  12  9   12  8   7   7   99  361 88  15  9   26  15  0   
2023     01      06     17  10.2    990.3    1017.8    0.0    0.0    81.8    4.2    216.4    19  25  7   10  10  9   8   9   112 387 53  16  13  36  7   0   
2023     01      06     18  10.2    990.2    1017.7    0.0    0.0    80.3    3.2    210.9    33  33  16  17  15  16  15  8   73  318 87  24  15  28  23  0   
2023     01      06     19  10.4    990.2    1017.7    0.0    0.0    79.3    3.7    208.7    17  32  9   17  21  19  9   8   85  363 79  13  18  14  17  0   
2023     01      06     20  10.5    990.0    1017.5    0.0    0.0    78.9    3.8    206.3    20  39  18  16  25  18  15  4   98  316 79  12  13  32  15  0   
2023     01      06     21  10.7    990.1    1017.6    0.0    0.0    77.9    3.8    206.2    25  35  14  22  27  18  8   9   97  326 79  10  15  24  12  0   
2023     01      06     22  10.6    989.8    1017.3    0.0    0.0    77.2    3.1    201.6    28  50  24  30  22  24  16  7   80  252 90  25  21  32  20  0   
2023     01      06     23  10.3    989.7    1017.2    0.0    0.0    78.9    2.7    197.4    26  59  36  42  25  17  7   6   54  210 133 30  19  33  24  0   
2023     01      07     00  10.3    989.7    1017.2    0.0    0.0    78.3    2.7    207.8    26  34  18  23  20  22  16  9   85  289 86  21  15  37  19  0   
2023     01      07     01  10.2    989.4    1016.9    0.0    0.0    78.2    2.4    209.6    33  36  22  19  19  20  10  4   61  260 147 35  5   30  20  0   
2023     01      07     02  10.3    989.0    1016.5    0.0    0.0    77.5    2.0    196.6    31  65  37  36  31  17  15  5   38  203 129 33  21  34  26  0   
2023     01      07     03  10.3    988.6    1016.1    0.0    0.0    76.0    2.0    198.7    39  60  34  45  27  13  7   2   43  197 139 44  16  26  28  0   
2023     01      07     04  10.2    988.2    1015.7    0.0    0.0    75.2    2.0    191.1    37  88  34  52  33  20  15  5   23  164 123 35  26  30  36  0   
2023     01      07     05  9.9    987.6    1015.1    0.0    0.0    73.4    2.2    196.0    38  59  37  50  29  24  7   3   33  194 125 42  21  23  36  0   
2023     01      07     06  9.7    987.0    1014.4    0.0    0.0    72.3    1.9    203.1    24  56  24  54  27  25  15  3   41  195 138 33  25  33  28  0   
2023     01      07     07  9.6    986.4    1013.8    0.0    0.0    71.4    1.9    196.4    28  65  28  34  32  30  9   10  36  204 132 49  22  21  21  0   
2023     01      07     08  9.7    985.8    1013.2    0.0    0.0    68.4    1.5    202.6    32  41  36  41  37  34  25  9   34  140 133 59  32  42  25  0   
2023     01      07     09  9.8    985.2    1012.6    0.0    0.0    68.4    1.3    191.7    26  60  26  46  42  37  25  24  46  145 134 50  20  24  16  0   
2023     01      07     10  10.1    984.8    1012.2    0.0    0.0    64.3    1.6    198.4    31  53  32  46  33  22  11  9   36  183 154 43  24  25  19  0   
2023     01      07     11  10.4    984.0    1011.4    0.0    0.0    61.0    2.4    195.9    32  62  27  48  30  21  14  4   30  174 161 42  25  35  16  0   
2023     01      07     12  10.8    982.0    1009.3    0.0    0.0    59.8    3.3    200.9    34  66  22  42  34  21  11  5   42  196 114 38  26  34  36  0   
2023     01      07     13  10.5    981.4    1008.7    0.0    0.0    62.3    3.4    202.8    35  58  28  34  43  17  7   1   46  205 135 30  22  34  25  0   
2023     01      07     14  10.6    980.7    1008.0    0.0    0.0    61.2    3.2    199.8    33  55  22  50  31  19  13  6   48  211 112 43  24  35  19  0   
2023     01      07     15  10.0    980.0    1007.2    0.0    0.0    62.9    3.4    201.1    36  54  22  36  30  18  9   6   41  205 145 46  17  38  18  0   
2023     01      07     16  9.8    979.5    1006.7    0.0    0.0    63.6    2.9    199.8    35  54  32  34  32  24  5   2   39  197 150 38  24  34  21  0   
2023     01      07     17  9.8    979.0    1006.2    0.0    0.0    63.2    3.2    201.0    28  55  27  39  30  20  7   1   45  224 126 33  19  39  27  0   
2023     01      07     18  9.9    978.6    1005.8    0.0    0.0    63.3    3.1    195.8    23  57  37  51  39  15  5   6   42  192 142 23  20  38  31  0   
2023     01      07     19  10.0    978.2    1005.4    0.0    0.0    62.5    3.4    199.7    34  61  31  44  21  26  7   2   52  213 129 26  16  40  19  0   
2023     01      07     20  9.6    978.4    1005.6    0.3    0.3    68.3    3.0    197.3    26  60  28  40  31  25  10  6   37  233 119 30  17  33  26  0   
2023     01      07     21  8.9    977.7    1004.9    0.1    0.1    76.0    3.3    194.4    48  68  31  37  26  16  8   4   49  211 117 30  12  36  28  0   
2023     01      07     22  9.3    977.5    1004.7    0.0    0.0    74.4    3.3    196.6    32  72  41  33  24  15  11  4   48  202 112 33  22  44  27  0   
2023     01      07     23  9.2    977.5    1004.7    0.0    0.0    77.3    3.5    200.4    25  54  20  26  32  33  11  9   67  244 97  21  22  27  33  0   
2023     01      08     00  9.5    976.9    1004.1    0.0    0.0    75.4    3.7    204.6    31  48  14  25  22  16  13  9   91  252 95  22  19  40  23  0   
2023     01      08     01  9.7    976.7    1003.9    0.0    0.0    73.5    2.9    204.1    31  39  17  45  40  20  8   4   70  225 106 37  23  35  21  0   
2023     01      08     02  9.9    976.4    1003.6    0.0    0.0    72.1    2.9    200.2    37  64  23  38  24  16  11  9   43  226 132 31  11  31  25  0   
2023     01      08     03  9.8    976.1    1003.2    0.0    0.0    71.7    2.4    196.6    27  61  37  38  40  24  11  3   43  198 123 24  18  36  38  0   
2023     01      08     04  9.5    975.7    1002.8    0.1    0.1    73.1    2.5    201.9    31  60  27  40  22  14  11  3   38  232 118 46  16  40  23  0   
2023     01      08     05  9.1    975.4    1002.5    0.0    0.0    75.4    2.8    200.4    33  44  23  32  24  23  14  5   82  253 103 30  13  25  16  0   
2023     01      08     06  8.9    975.1    1002.2    0.7    0.7    73.9    3.8    203.7    31  30  13  15  18  29  14  12  123 295 68  13  22  26  12  0   
2023     01      08     07  7.3    975.6    1002.7    0.5    0.5    78.5    3.7    205.6    30  38  17  20  15  19  10  14  96  319 74  13  17  30  9   0   
2023     01      08     08  7.3    975.6    1002.7    0.1    0.1    78.5    2.0    193.2    34  60  52  43  26  23  8   1   32  190 133 41  23  28  27  0   
2023     01      08     09  7.0    975.1    1002.2    0.0    0.0    79.5    1.9    188.9    35  66  47  36  29  35  14  3   33  198 134 34  18  27  12  0   
